0,1,2,3
Mikel Arteta,"22 Dec, 2019",Present,arsenal
Fredrik Ljungberg,"29 Nov, 2019","22 Dec, 2019",arsenal
Unai Emery,"23 May, 2018","29 Nov, 2019",arsenal
Arsene Wenger,"30 Sep, 1996","14 May, 2018",arsenal
Pat Rice,"16 Sep, 1996","30 Sep, 1996",arsenal
Stewart Houston,"12 Aug, 1996","16 Sep, 1996",arsenal
Bruce Rioch,"08 Jun, 1995","12 Aug, 1996",arsenal
Stewart Houston,"21 Feb, 1995","08 Jun, 1996",arsenal
George Graham,"14 May, 1986","21 Feb, 1995",arsenal
Steve Burtenshaw,"25 Mar, 1986","14 May, 1986",arsenal
Don Howe,"16 Dec, 1983","22 Mar, 1986",arsenal
Terry Neill,"08 Jul, 1976","16 Dec, 1983",arsenal
Bertie Mee,"01 Jun, 1966","04 May, 1976",arsenal
Billy Wright,"01 May, 1962","01 Jun, 1966",arsenal
George Swindin,"01 Jul, 1958","01 May, 1962",arsenal
Jack Crayston,"01 Nov, 1956","01 May, 1958",arsenal
Tom Whittaker,"01 Jun, 1947","01 Oct, 1956",arsenal
George Allison,"01 Jun, 1934","01 May, 1947",arsenal
Herbert Chapman,"01 Jun, 1925","01 Jan, 1934",arsenal
Leslie Knighton,"01 May, 1919","01 Jun, 1925",arsenal
George Morrell,"01 Feb, 1908","01 May, 1915",arsenal
Phil Kelso,"01 Aug, 1904","01 Feb, 1908",arsenal
Harry Bradshaw,"01 Aug, 1899","01 May, 1904",arsenal
George Elcoat,"01 Mar, 1898","31 May, 1899",arsenal
Tom Mitchell,"01 Aug, 1897","01 Mar, 1898",arsenal
Sam Hollis,"01 Aug, 1894","31 Jul, 1897",arsenal
Marco Silva,"01 Jul, 2021",Present,fulham
Scott Parker,"28 Feb, 2019","01 Jun, 2021",fulham
Claudio Ranieri,"14 Nov, 2018","28 Feb, 2019",fulham
Slavisa Jokanovic,"27 Dec, 2015","13 Nov, 2018",fulham
Stuart Gray,"08 Dec, 2015","27 Dec, 2015",fulham
Peter Grant,"20 Nov, 2015","08 Dec, 2015",fulham
Kit Symons,"18 Sep, 2014","08 Nov, 2015",fulham
Felix Magath,"14 Feb, 2014","18 Sep, 2014",fulham
Rene Meulensteen,"02 Dec, 2013","14 Feb, 2014",fulham
Martin Jol,"07 Jun, 2011","02 Dec, 2013",fulham
Mark Hughes,"29 Jul, 2010","01 Jun, 2011",fulham
Roy Hodgson,"30 Dec, 2007","01 Jul, 2010",fulham
Ray Lewington,"21 Dec, 2007","30 Dec, 2007",fulham
Lawrie Sanchez,"11 Apr, 2007","21 Dec, 2007",fulham
Chris Coleman,"17 Apr, 2003","11 Apr, 2007",fulham
Jean Tigana,"01 Jul, 2000","17 Apr, 2003",fulham
Karlheinz Riedle,"30 Mar, 2000","01 Jul, 2000",fulham
Paul Bracewell,"14 May, 1999","29 Mar, 2000",fulham
Frank Sibley,"09 May, 1999","14 May, 1999",fulham
Kevin Keegan,"07 May, 1998","09 May, 1999",fulham
Ray Wilkins,"25 Sep, 1997","07 May, 1998",fulham
Mickey Adams,"01 Aug, 1996","25 Sep, 1997",fulham
Ian Branfoot,"01 Aug, 1994","19 Feb, 1996",fulham
Don Mackay,"27 Jan, 1991","28 Mar, 1994",fulham
Alan Dicks,"09 Jul, 1990","31 Dec, 1991",fulham
Ray Lewington,"01 Jul, 1986","01 Jun, 1990",fulham
Ray Harford,"20 Apr, 1984","10 Jun, 1986",fulham
Malcolm MacDonald,"01 Nov, 1980","20 Apr, 1984",fulham
Bobby Campbell,"16 Dec, 1976","31 Oct, 1980",fulham
Alec Stock,"21 Jun, 1972","16 Dec, 1976",fulham
Bill Dodgin(Jnr),"01 Dec, 1969","19 Jun, 1972",fulham
Bobby Robson,"01 Jan, 1968","01 Nov, 1968",fulham
Vic Buckingham,"01 Jan, 1965","01 Jan, 1968",fulham
Bedford Jezzard,"01 Jun, 1958","31 Dec, 1964",fulham
Duggie Livingstone,"01 Jan, 1956","31 May, 1958",fulham
Bill Dodgin(Snr),"01 Aug, 1949","01 Oct, 1953",fulham
Frank Osborne,"01 Sep, 1948","01 Jun, 1949",fulham
Jack Peart,"01 May, 1935","01 Sep, 1948",fulham
Jimmy Hogan,"01 Aug, 1934","01 Feb, 1935",fulham
James McIntyre,"01 Apr, 1931","01 Feb, 1934",fulham
Ned Liddell,"01 May, 1929","01 Apr, 1931",fulham
Joe Bradshaw,"01 Aug, 1926","01 May, 1929",fulham
Andy Ducat,"01 May, 1924","01 May, 1926",fulham
Phil Kelso,"01 Aug, 1909","01 May, 1924",fulham
Harry Bradshaw,"01 Apr, 1904","01 Apr, 1909",fulham
